workload,seed,rival,du,incremental_search_s,n_be
qaoa_channel,6,classical_only,2.218957177379903e-05,128.32546494527125,5783142.921973609
qaoa_channel,7,classical_only,-9.836451564599995e-06,27.12080400514514,inf
qaoa_channel,8,classical_only,7.153038005679874e-05,119.76716177043758,1674353.7735342158
qaoa_channel,9,classical_only,-0.0217556830212872,96.77424743464918,inf
qaoa_channel,10,classical_only,3.8704118233700256e-05,32.2305447607464,832741.9983096987
qaoa_channel,11,classical_only,-5.843487486399939e-06,72.94396626399218,inf
qaoa_place,0,classical_only,-0.7832992241487067,97.12911943595267,inf
qaoa_place,1,classical_only,-2.096805035229493e-05,30.952406884353167,inf
qaoa_place,2,classical_only,3.943826854929666e-05,63.06029736477844,1598962.1168575124
qaoa_place,3,classical_only,1.8477442752296014e-05,145.849869331457,7893401.229092356
qaoa_place,4,classical_only,0.020529657238917098,61.68023954029145,3004.445657444643
qaoa_place,5,classical_only,5.251598078540032e-05,165.62936143941684,3153884.950111463
qaoa_place,6,classical_only,0.0134490511813153,37.49594940858626,2787.999607041365
qaoa_place,7,classical_only,5.112632548195939e-06,174.46456690169174,34124213.94595508
qaoa_place,8,classical_only,8.413708586396673e-06,195.8838597076505,23281512.272050463
qaoa_place,9,classical_only,0.0229665646103389,96.75731967319967,4212.964425234162
qaoa_place,10,classical_only,0.006423668428699597,51.42519328596857,8005.580278118285
qaoa_place,11,classical_only,2.2653004476999583e-05,20.74070177028001,915582.8221964461
vqc,0,classical_only,0.17377270465905528,8.334687338664333,47.96315598020482
vqc,1,classical_only,0.014953824128712295,6.579319268177239,439.97570197074384
vqc,2,classical_only,-0.13282330580795917,12.871007797807255,inf
vqc,3,classical_only,-0.004914766244816904,4.154799738228642,inf
vqc,4,classical_only,-0.015082832257774792,7.793205986536266,inf
vqc,5,classical_only,0.06493521603864331,7.587079099837975,116.84074624966
vqc,6,classical_only,0.0790262990329417,5.986588781150779,75.75438625381281
vqc,7,classical_only,0.023375167492162008,5.164498034395061,220.93950925172123
vqc,8,classical_only,0.00234630179005009,9.9044427708547,4221.299584246261
vqc,9,classical_only,0.046335981388723,4.701652667514841,101.46871883583552
vqc,10,classical_only,0.0,2.1835159450648876,inf
vqc,11,classical_only,-0.03705798282895234,8.380500502590143,inf
vqc_cancer,0,classical_only,0.0,7.86266380030165,inf
vqc_cancer,1,classical_only,0.019704172126065893,6.760118331090468,343.08055612992575
vqc_cancer,2,classical_only,-0.0001610049897066007,10.570337806629846,inf
vqc_cancer,3,classical_only,0.0,4.463411700124996,inf
vqc_cancer,4,classical_only,-0.0050822310817849985,8.070148291149176,inf
vqc_cancer,5,classical_only,0.0,8.637296704158583,inf
vqc_cancer,6,classical_only,-0.003319678424120412,5.976125549150779,inf
vqc_cancer,7,classical_only,0.0,4.8034612491773885,inf
vqc_cancer,8,classical_only,0.0,7.155502358564168,inf
vqc_cancer,9,classical_only,0.0,1.1137524837340325,inf
vqc_cancer,10,classical_only,2.6687786249701695e-05,2.1808414490648884,81716.83588365314
vqc_cancer,11,classical_only,0.0310744162969665,3.878103441110194,124.80052413691762
qaoa,0,always_simulator,1.9774712873150193,96.95911646254774,49.031870694920364
qaoa,1,always_simulator,1.9275675079133918,65.99382831201503,34.236844126644314
qaoa,2,always_simulator,2.1018411277085116,278.22413160712756,132.37162787391816
qaoa,3,always_simulator,1.3370745910739399,88.30607782571433,66.04424197066432
qaoa,4,always_simulator,2.1647164217296995,117.34506982069568,54.208056373006144
qaoa,5,always_simulator,2.1601658996626023,63.0393512402248,29.182643448853145
qaoa,6,always_simulator,1.7861830495879163,18.644708559061204,10.438296659103699
qaoa,7,always_simulator,2.381516630906055,30.399035923424783,12.764570076447201
qaoa,8,always_simulator,2.416478087895235,114.13221640558154,47.230809572534255
qaoa,9,always_simulator,2.1531034380461933,96.59122945030111,44.861397619592125
